codigo_municipio,departamento,municipio,poblacion,hogares,pct_hogar_rural,pct_hogar_indigena,NBI
1402,Quiché,Chiché,33242,4913,82.74,97.11,52
1403,Quiché,Chinique,14792,2191,77.73,81.18,41
1404,Quiché,Zacualpa,43607,5706,79.64,95.63,60
1405,Quiché,Chajul,57659,8416,48.63,91.55,80
1406,Quiché,Santo Tomás Chichicastenango,160245,22786,49.75,98.92,59
1407,Quiché,Patzité,8521,1065,82.25,98.5,42
1408,Quiché,San Antonio Ilotenango,34561,4251,80.59,99.59,64
1409,Quiché,San Pedro Jocopilas,40724,4623,95,94.63,70
1410,Quiché,Cunén,51685,6687,78.73,90.99,59
1411,Quiché,San Juan Cotzal,39652,5624,53.41,96.46,71
1412,Quiché,Joyabaj,121553,14815,79.24,91.52,60
1414,Quiché,San Andrés Sajcabajá,30080,5185,86.17,89.14,71
1415,Quiché,San Miguel Uspantán,80521,12267,88.38,83.59,60
1416,Quiché,Sacapulas,57874,8904,73.23,96.66,61
1417,Quiché,San Bartolomé Jocotenango,16663,1980,81.87,98.61,75
1418,Quiché,Canillá,13547,2703,76.1,46.01,66
1419,Quiché,Chicamán,47052,7451,90.4,78.51,70
1421,Quiché,Pachalum,11076,2239,75.7,15.65,27
1501,Baja Verapaz,Salamá,78371,15726,0,22.67,61
1502,Baja Verapaz,San Miguel Chicaj,41656,7289,75.55,91.72,31
1503,Baja Verapaz,Rabinal,48477,9462,60.66,82.11,34
1504,Baja Verapaz,Cubulco,62799,12445,78.39,74.63,50
1505,Baja Verapaz,Granados,15559,3603,90.95,10.01,29
1506,Baja Verapaz,Santa Cruz El Chol,11506,2453,77.62,9.11,22
1507,Baja Verapaz,San Jerónimo,32022,6151,56.51,17.35,31
1508,Baja Verapaz,Purulhá,70303,10874,84.49,95.61,76
1601,Alta Verapaz,Cobán,250434,43165,0.09,85.75,74
1602,Alta Verapaz,Santa Cruz Verapaz,40332,6066,70.15,81.33,43
1603,Alta Verapaz,San Cristóbal Verapaz,86625,12172,67.34,89.16,63
1604,Alta Verapaz,Tactic,45210,7802,57.25,85.66,44
1605,Alta Verapaz,Tamahú,27187,3614,75.76,98.22,67
1606,Alta Verapaz,San Miguel Tucurú,55061,8375,89.16,97.92,74
1607,Alta Verapaz,Panzós,86970,13066,68.81,98.54,81
1608,Alta Verapaz,Senahú,105147,16573,86.16,98.94,84
1609,Alta Verapaz,San Pedro Carchá,285176,43589,91.7,97.04,86
1610,Alta Verapaz,San Juan Chamelco,67789,11064,75.4,97.17,58
1612,Alta Verapaz,Santa María Cahabón,75988,11707,94.01,98.71,81
1613,Alta Verapaz,Chisec,114563,14919,88.2,93.45,78
1614,Alta Verapaz,Chahal,32698,5029,83.16,93.91,78
1615,Alta Verapaz,Fray Bartolomé de Las Casas,86664,12554,93.62,90.1,70
1616,Alta Verapaz,Santa Catalina La Tinta,50092,7710,47.29,96.51,81
1617,Alta Verapaz,Raxruhá,43560,6659,80.52,84.09,77
1701,Petén,Flores,48039,10321,0,6.91,54
1702,Petén,San José,7513,1443,78.03,34.38,45
1703,Petén,San Benito,57685,11419,19.04,8.21,44
1704,Petén,San Andrés,36670,7189,60.29,16.97,69
1705,Petén,La Libertad,91760,15909,64.79,21.97,60
1706,Petén,San Francisco,17664,3525,37.05,22.37,50
1707,Petén,Santa Ana,26161,4997,50.73,7.14,67
1708,Petén,Dolores,31309,5895,71.54,9.64,51
1709,Petén,San Luis,79739,15470,83.79,62.77,60
1710,Petén,Sayaxché,105266,19461,83.68,61.84,66
1711,Petén,Melchor de Mencos,31958,6822,44.99,3.25,50
1712,Petén,Poptún,74692,11894,39.56,34.23,55
1713,Petén,Las Cruces,41729,7049,65.77,21.96,61
1714,Petén,El Chal,16072,3256,74.2,22.45,55
1801,Izabal,Puerto Barrios,117139,26612,0,7.45,56
1802,Izabal,Livingston,85332,15934,71.76,56.18,61
